stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\programming\Projekt_ALGO\Visual Studio\problem\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.42526] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.42535] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42753] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.42982] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42996] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.43053] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.43135] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.43145] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.43157] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.43201] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.43242] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.43286] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.43339] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.43352] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.43379] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.43461] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.43481] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.43505] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43523] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43537] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43569] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43617] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43656] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43729] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43744] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43770] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43810] Single Buffer requirement not met.
